Problem,Label,Actions,Expansions,Goal Tests,New Nodes,Plan Length,Time
p1,bfs,20,43,56,178,6,0.038287994990242
p1,dfs,20,21,22,84,20,0.00890477700159
p1,ucs,20,60,62,240,6,0.026188554998953
p1,gb-unmet,20,7,9,29,6,0.003650978003861
p1,gb-level,20,6,8,28,6,1.17321470299794
p1,gb-max,20,6,8,24,6,0.33995548900566
p1,gb-set,20,7,9,31,7,1.84360505899
p1,as-unmet,20,50,52,206,6,0.040527940989
p1,as-level,20,28,30,122,6,0.636488357
p1,as-max,20,43,45,180,6,0.3506712640082
p1,as-set,20,51,53,208,6,1.235266738
p2,bfs,,,,,,
p2,dfs,,,,,,
p2,ucs,,,,,,
p2,gb-unmet,,,,,,
p2,gb-level,,,,,,
p2,gb-max,,,,,,
p2,gb-set,,,,,,
p2,as-unmet,,,,,,
p2,as-level,,,,,,
p2,as-max,,,,,,
p2,as-set,,,,,,
